"sp","lat","lon"
"Viburnum davidii","29.9142","102.2346"
"Viburnum davidii","29.9142","102.2346"
"Viburnum davidii","29.9142","102.2346"
"Viburnum davidii","29.9142","102.2346"
"Viburnum davidii","29.9142","102.2346"
"Viburnum davidii","30.3681","102.8146"
"Viburnum davidii","30.3681","102.8146"
"Viburnum davidii","30.3681","102.8146"
"Viburnum davidii","30.0667","102.7583"
"Viburnum davidii","30.0667","102.7583"
"Viburnum davidii","30.0667","102.7583"
"Viburnum davidii","29.4961","103.3986"
"Viburnum davidii","30.3681","102.8146"
"Viburnum davidii","30.3681","102.8146"
"Viburnum ciliatum","20.2426","-98.2085"
"Viburnum ciliatum","20.3169","-98.2569"
"Viburnum ciliatum","19.9506","-97.5072"
"Viburnum ciliatum","20.6608","-98.6447"
"Viburnum ciliatum","19.915","-97.395"
"Viburnum ciliatum","19.9233","-97.3367"
"Viburnum ciliatum","20.7931","-98.7139"
"Viburnum ciliatum","20.6422","-98.6047"
"Viburnum ciliatum","20.7608","-98.7183"
"Viburnum ciliatum","20.7111","-98.6953"
"Viburnum ciliatum","20.63","-98.5658"
"Viburnum ciliatum","20.635","-98.61"
"Viburnum ciliatum","20.6478","-98.5919"
"Viburnum ciliatum","20.3025","-98.2189"
"Viburnum ciliatum","20.6031","-98.4703"
"Viburnum ciliatum","19.0933","-97.215"
"Viburnum ciliatum","19.5417","-97.075"
"Viburnum ciliatum","20.725","-98.625"
"Viburnum ciliatum","19.3333","-96.6667"
"Viburnum ciliatum","21.2019","-97.91"
"Viburnum ciliatum","17.5972","-99.825"
"Viburnum ciliatum","19.3333","-96.6667"
"Viburnum ciliatum","20.27","-98.28"
"Viburnum ciliatum","19.3333","-96.6667"
"Viburnum ciliatum","20.4917","-98.5042"
"Viburnum ciliatum","19.9167","-97.6047"
"Viburnum ciliatum","19.3333","-96.6667"
"Viburnum ciliatum","17.5067","-100.6067"
"Viburnum ciliatum","19.75","-96.7883"
"Viburnum ciliatum","19.7522","-96.7892"
"Viburnum ciliatum","20.5072","-98.5039"
"Viburnum ciliatum","19.2117","-98.7567"
"Viburnum ciliatum","20.4837","-98.8576"
"Viburnum ciliatum","20.2525","-98.1776"
"Viburnum ciliatum","20.5336","-98.4778"
"Viburnum ciliatum","17.5997","-99.6889"
"Viburnum microcarpum","19.5752","-97.023"
"Viburnum microcarpum","19.6214","-97.0557"
"Viburnum microcarpum","20.3548","-98.2217"
"Viburnum microcarpum","20.3498","-98.2353"
"Viburnum microcarpum","20.2744","-98.1693"
"Viburnum microcarpum","20.2748","-98.1772"
"Viburnum microcarpum","18.2052","-96.8735"
"Viburnum microcarpum","19.7338","-97.2527"
"Viburnum microcarpum","19.6633","-96.9449"
"Viburnum microcarpum","18.6889","-97.0217"
"Viburnum microcarpum","17.4954","-96.3775"
"Viburnum microcarpum","17.5141","-96.3248"
"Viburnum microcarpum","19.8967","-97.6267"
"Viburnum microcarpum","21.0314","-98.6378"
"Viburnum microcarpum","17.4938","-96.3278"
"Viburnum microcarpum","19.9717","-97.825"
"Viburnum microcarpum","19.8867","-97.66"
"Viburnum microcarpum","19.8883","-97.3883"
"Viburnum microcarpum","19.575","-97.0083"
"Viburnum microcarpum","19.6642","-97.1617"
"Viburnum microcarpum","20.3275","-98.2103"
"Viburnum microcarpum","20.3219","-98.2017"
"Viburnum microcarpum","19.6417","-96.9417"
"Viburnum microcarpum","20.9672","-98.5358"
"Viburnum microcarpum","19.575","-96.9833"
"Viburnum microcarpum","19.6564","-97.0894"
"Viburnum microcarpum","19.7414","-96.8186"
"Viburnum microcarpum","19.6464","-97.0789"
"Viburnum microcarpum","19.6897","-97.1153"
"Viburnum microcarpum","19.6917","-97.1133"
"Viburnum microcarpum","19.6583","-97.0917"
"Viburnum microcarpum","19.675","-97.125"
"Viburnum microcarpum","19.675","-97.1417"
"Viburnum microcarpum","19.7083","-97.1417"
"Viburnum microcarpum","19.7917","-96.7917"
"Viburnum microcarpum","19.8231","-96.8214"
"Viburnum microcarpum","17.3333","-97.8833"
"Viburnum microcarpum","17.3417","-97.8917"
"Viburnum microcarpum","19.75","-96.7883"
"Viburnum microcarpum","17.2583","-97.8583"
"Viburnum microcarpum","19.775","-96.825"
"Viburnum microcarpum","19.87","-97.5883"
"Viburnum microcarpum","19.77","-97.2467"
"Viburnum microcarpum","19.8147","-97.2325"
"Viburnum microcarpum","19.7155","-96.8358"
"Viburnum microcarpum","19.8739","-97.5872"
"Viburnum microcarpum","19.8573","-102.4366"
"Viburnum microcarpum","19.6667","-97.175"
"Viburnum microcarpum","20.1944","-98.1508"
"Viburnum microcarpum","19.3333","-96.6667"
"Viburnum microcarpum","19.8322","-97.2072"
"Viburnum microcarpum","18.9156","-96.7767"
"Viburnum microcarpum","19.615","-97.0497"
"Viburnum microcarpum","19.5817","-97.01"
"Viburnum microcarpum","19.58","-97.0119"
"Viburnum microcarpum","19.3333","-96.6667"
"Viburnum microcarpum","19.8167","-96.8167"
"Viburnum microcarpum","19.3333","-96.6667"
"Viburnum microcarpum","19.3333","-96.6667"
"Viburnum microcarpum","19.775","-96.6917"
"Viburnum microcarpum","19.7706","-96.8219"
"Viburnum microcarpum","19.8003","-96.745"
"Viburnum microcarpum","19.7278","-96.6731"
"Viburnum microcarpum","19.5839","-97.0125"
"Viburnum microcarpum","20.535","-98.4783"
"Viburnum microcarpum","20.5917","-98.4917"
"Viburnum microcarpum","19.8322","-97.2072"
"Viburnum microcarpum","19.8136","-97.3667"
"Viburnum microcarpum","19.815","-97.36"
"Viburnum microcarpum","19.8156","-97.3603"
"Viburnum microcarpum","17.55","-96.55"
"Viburnum microcarpum","20.4859","-98.5037"
"Viburnum microcarpum","19.5864","-96.9767"
"Viburnum microcarpum","19.3333","-96.6667"
"Viburnum microcarpum","19.3333","-96.6667"
"Viburnum microcarpum","20.3525","-98.2244"
"Viburnum microcarpum","20.1369","-98.0972"
"Viburnum microcarpum","19.3333","-96.6667"
"Viburnum microcarpum","19.3333","-96.6667"
"Viburnum microcarpum","14.4769","-90.7328"
"Viburnum microcarpum","19.7917","-97.225"
"Viburnum microcarpum","19.3333","-96.6667"
"Viburnum microcarpum","19.625","-97.1083"
"Viburnum microcarpum","19.3333","-96.6667"
"Viburnum microcarpum","19.6083","-97.025"
"Viburnum microcarpum","19.0567","-98.6331"
"Viburnum microcarpum","19.3333","-96.6667"
"Viburnum microcarpum","20.247","-98.1092"
"Viburnum microcarpum","20.5336","-98.4778"
"Viburnum costaricanum","10.3619","-84.8946"
"Viburnum costaricanum","10.9278","-85.4739"
"Viburnum costaricanum","9.5607","-83.7213"
"Viburnum costaricanum","9.5607","-83.7213"
"Viburnum costaricanum","8.8314","-82.7167"
"Viburnum costaricanum","10.1306","-84.1251"
"Viburnum costaricanum","10.1306","-84.1251"
"Viburnum costaricanum","10.1306","-84.1251"
"Viburnum costaricanum","9.0842","-83.0258"
"Viburnum costaricanum","9.0842","-83.0258"
"Viburnum costaricanum","10.928","-85.474"
"Viburnum costaricanum","10.93","-85.47"
"Viburnum costaricanum","10.93","-85.47"
"Viburnum costaricanum","9.1223","-83.0742"
"Viburnum costaricanum","9.1223","-83.0742"
"Viburnum costaricanum","9.1223","-83.0742"
"Viburnum costaricanum","9.9722","-83.6922"
"Viburnum costaricanum","10.9276","-85.4749"
"Viburnum costaricanum","9.4514","-83.6167"
"Viburnum costaricanum","10.1348","-84.1208"
"Viburnum costaricanum","9.4514","-83.6167"
"Viburnum costaricanum","9.0778","-83.0333"
"Viburnum costaricanum","9.0594","-83.0364"
"Viburnum costaricanum","9.1219","-82.8825"
"Viburnum costaricanum","9.1114","-83.0633"
"Viburnum costaricanum","9.0939","-82.8728"
"Viburnum costaricanum","9.1056","-83.0667"
"Viburnum costaricanum","9.1056","-83.0667"
"Viburnum costaricanum","10.1984","-84.3811"
"Viburnum costaricanum","9.1056","-83.0667"
"Viburnum costaricanum","9.5506","-83.8078"
"Viburnum costaricanum","9.5686","-83.7544"
"Viburnum costaricanum","10.1389","-84.0944"
"Viburnum costaricanum","9.5389","-83.8189"
"Viburnum costaricanum","9.5389","-83.8189"
"Viburnum costaricanum","10.2364","-84.1178"
"Viburnum costaricanum","9.4636","-83.7025"
"Viburnum costaricanum","9.4636","-83.7025"
"Viburnum costaricanum","9.4636","-83.7025"
"Viburnum costaricanum","8.9111","-82.7986"
"Viburnum costaricanum","9.0684","-83.0368"
"Viburnum costaricanum","9.0694","-83.0389"
