"","Group.1","sp","lat","lon","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1","Viburnum acerifolium",NA,41.0976339070568,-77.5559485370052,96.5387263339071,114.094664371773,30.6419965576592,8983.56626506024,281.882960413081,-86.7091222030981,368.592082616179,145.659208261618,17.6540447504303,208.936316695353,-23.2134251290878,1093.21858864028,110.86230636833,69.7487091222031,13.4647160068847,310.81239242685,229.10843373494,289.657487091222,247.13769363167
"2","Viburnum amplificatum",NA,5.18382222222222,118.108977777778,258.555555555556,77.8888888888889,87.5555555555556,339.444444444444,305.333333333333,217,88.3333333333333,253.777777777778,259.555555555556,261.666666666667,253.444444444444,2319.33333333333,273.777777777778,146.444444444444,19.8888888888889,746.555555555556,473.222222222222,514.111111111111,726.444444444444
"3","Viburnum anabaptista",NA,5.48497894736842,-75.7013894736842,161.263157894737,91.6315789473684,88.8947368421053,307.368421052632,213.421052631579,110.684210526316,102.736842105263,158.368421052632,159.631578947368,164.368421052632,156.842105263158,2282.31578947368,289,84.7368421052632,34.0526315789474,762.842105263158,313.210526315789,630.473684210526,643.894736842105
"4","Viburnum annamensis",NA,14.6478,108.4203,201,99,59,1747,277,110,167,212,176,220,176,2186,395,15,74,1122,76,540,76
"5","Viburnum atrocyaneum",NA,27.132225,99.6418,135.875,107.25,44.875,4729.125,237.125,0.5,236.625,190.375,78.875,190.5,70.75,1170.25,251,9.375,84,669.25,38.625,660,46.125
"6","Viburnum awabuki",NA,22.9808428571429,120.510159183673,207.448979591837,73.7551020408163,47.3877551020408,3181.18367346939,279.448979591837,119.714285714286,159.734693877551,239.244897959184,172.551020408163,242.571428571429,163.020408163265,2941.12244897959,644.816326530612,46.3469387755102,87.2448979591837,1697.55102040816,157.408163265306,1663.44897959184,178.040816326531
"7","Viburnum ayavacense",NA,-11.5070185185185,-67.8609592592593,176.111111111111,129.962962962963,73.962962962963,1332.55555555556,257.148148148148,80.4444444444444,176.703703703704,186.037037037037,159.925925925926,189.851851851852,156.814814814815,1159.59259259259,191.074074074074,23.2592592592593,67.1481481481482,531.888888888889,88.4444444444444,401.111111111111,179.296296296296
"8","Viburnum beccarii",NA,3.9328,101.632857142857,197.428571428571,89.2857142857143,84.2857142857143,509,250.428571428571,145,105.428571428571,194.714285714286,199.571428571429,203.142857142857,190,2634.71428571429,331.857142857143,123.428571428571,30,910.428571428571,402.142857142857,632.857142857143,673.142857142857
"9","Viburnum betulifolium",NA,27.4710269035533,111.070416751269,116.360406091371,88.0659898477157,39.3350253807107,5115.83248730964,222.934010152284,-9.20304568527919,232.137055837563,171.822335025381,53.1979695431472,177.309644670051,46.6294416243655,1915.92893401015,333.51269035533,34.48730964467,71.243654822335,900.38578680203,122.527918781726,825.289340101523,192.695431472081
"10","Viburnum blandum",NA,16.06285,-92.9859333333333,173.066666666667,130.4,72.5333333333333,1174.76666666667,257.2,78.3666666666667,178.833333333333,181.233333333333,157.4,184.9,155.533333333333,1587.16666666667,310.766666666667,12.6333333333333,85.5666666666667,814.833333333333,46.0333333333333,550.166666666667,59.5
"11","Viburnum brachyandrum",NA,35.6468,139.2729,137,99,30,7814,298,-32,330,208,37,238,37,1515,209,44,48,580,146,573,146
"12","Viburnum brachybotryum",NA,27.0935446153846,107.086490769231,167.969230769231,84.6153846153846,32.0461538461538,6423.27692307692,297.076923076923,30.0461538461538,267.030769230769,232.830769230769,83.8153846153846,245.061538461538,79.9846153846154,1302.70769230769,241.692307692308,22.2461538461538,69.7230769230769,645.8,80.9692307692308,608.892307692308,83.3230769230769
"13","Viburnum bracteatum",NA,35.7437,-92.95355,138,134,36,8242.5,320,-49.5,369.5,137,27,240.5,27,1235,142.5,66.5,19,378.5,247.5,290,247.5
"14","Viburnum carlesii",NA,35.71918,130.88992,138.6,77.6,24.6,8086.2,294.8,-15.6,310.4,236.6,48.2,242,35,1463,232.8,52,52.8,591.6,174.4,583.2,193.2
"15","Viburnum caudatum",NA,19.6298575757576,-98.3837242424242,168.969696969697,122.909090909091,63.8484848484849,1946.54545454545,263.393939393939,71.5151515151515,191.878787878788,179.212121212121,152.181818181818,190.969696969697,142.030303030303,1626.42424242424,334.939393939394,29.2121212121212,81.1818181818182,857.121212121212,100.787878787879,367.545454545455,112.515151515152
"16","Viburnum chingii",NA,26.1328404761905,100.206423809524,138.952380952381,109.380952380952,46.2142857142857,4558.78571428571,234.666666666667,-0.238095238095238,234.904761904762,189.47619047619,79,190.619047619048,75.4285714285714,1139.64285714286,234.666666666667,12.3333333333333,83.0238095238095,638.380952380952,48.4047619047619,631.261904761905,51.9523809523809
"17","Viburnum ciliatum",NA,19.9584111111111,-98.1358472222222,168.083333333333,125.805555555556,63.0833333333333,2080.13888888889,266.111111111111,68.2222222222222,197.888888888889,179.472222222222,149.5,191.555555555556,139.222222222222,1412.02777777778,301.527777777778,28.7777777777778,78.8888888888889,722.555555555556,99.1388888888889,338.472222222222,123.861111111111
