"","x.cent","xs.disp","ys.cent","ys.disp","max.width","min.width","ss.max.width","ss.min.width","height"
"acerifolium",0.142753035576775,0.00585020138483337,0.139331159974651,0.00117079042039237,-0.691449171448508,-0.938637497506308,-1.26993280145369,-1.51555805594694,NA
"anabaptista",0.636939219485084,0.172964796128359,0.430641755168646,0.427980584516144,0.126919717020399,-0.81228893695562,-1.57098585726488,-1.79817501661791,-0.952508123239647
"annamensis",0.412285572854425,0.189661692234238,0.287470622262408,0.0519753559300178,-0.678031051571299,-0.967041191585952,-1.23687693128499,-1.67919616368272,NA
"ayavacense",0.277643786780897,0.0574209642026998,0.165264769452479,0.00417772859006171,-0.218509828047354,-0.972336281669013,-1.36877463704932,-1.59648236490145,-2.53489194321893
"beccarii",0.159416523384424,0.00597671587862413,0.18817817023637,0.0025090637817921,0.211335595352833,-0.0694121313632394,-0.229349479519562,-0.653050493010166,NA
"betulifolium",0.358586845330888,0.120008603388149,0.249662514014714,0.03526851721598,-0.271135055466611,-0.511539771080558,-0.808394268561858,-1.1164536195481,NA
"bracteatum",0.463250553643625,0.296419593702089,0.159515785413349,0.0319680225612036,0.104783342204548,NA,-1.24308418480017,NA,-1.40808418110924
"caudatum",0.425509732985791,0.326691409647285,0.222747676367088,0.0618803178461071,-0.357303252807208,-1.59795722570063,-1.18299438811074,-1.54318582687854,-0.762426265291134
"ciliatum",0.343005966283378,0.0612006433601587,0.155048946256068,0.00442995943396456,-1.05073655133339,-1.59111341536474,-1.60766736752785,-1.97343854042813,-1.79844923568748
"cinnamomifolium",0.269733171430881,0.260198584386353,0.171895437306275,0.0191304079528588,0.343684139654903,-0.898835728106438,-0.0614338819646018,-1.58329010581186,-1.33472734167137
"coriaceum",0.304661007863671,0.070389559530682,0.206662348912436,0.00737401944663418,-0.278619426616632,-0.629001449925188,-0.550999714830075,-0.997779354450045,NA
"corylifolium",0.339615679890589,0.0538523611959651,0.163205768088537,0.00384254214394841,-0.61582863747169,-0.724151292971678,-1.1277185922189,-1.28003421111139,NA
"costaricanum",0.566782943140205,0.359958771254305,0.28035182144046,0.0911269189714467,-0.499956175888668,-1.05625138135914,-1.16754392850331,-1.573122119178,-2.46544870798028
"cylindricum",0.380268828375402,0.282396536349707,0.256938454941596,0.0584243133217448,-0.794402021744336,-1.09602462362398,-1.12190104569823,-1.43752811557149,NA
"davidii",0.570191400882996,0.839476010036196,0.296130056771507,0.100193272325811,0.0690930432213083,-0.924806758077237,-0.931758613986324,-1.81881130726182,NA
