"","x.cent","xs.disp","ys.cent","ys.disp","max.width","min.width","ss.max.width","ss.min.width","height"
"acerifolium",0.00731509149983349,0.00138446811778971,0.00707870485964213,0.00144847501200552,0.109313339087064,0.081889872046615,0.0706026007290044,0.0973971433291792,NA
"anabaptista",0.0357345243687584,0.0361115510762556,0.0340581937666934,0.0371167018729137,0.0528582426561497,0.079534977265528,0.0761769007842405,0.0800420000304136,0.166875163637005
"annamensis",0.0383356382965147,0.0479849040788257,0.0392712926801512,0.048421778626837,0.0982740514734533,0.13552768053633,0.169025903553596,0.176949615290509,NA
"ayavacense",0.0345967422038584,0.0288628742064669,0.0348353961774475,0.0288780978575539,0.048959499114325,0.0252557096293516,0.0879173088301614,0.0666333166107059,0.10584866000711
"beccarii",0.00922187743327778,0.00230782349631489,0.00923424625494039,0.00240151859292645,0.109938950155653,0.103683138655774,0.103837874671391,0.0859520393271115,NA
"betulifolium",0.0242722309608226,0.038056696687442,0.0236787165828951,0.0385336133455524,0.0670092145859369,0.0551570812956464,0.0719455263725656,0.0720804833914724,NA
"bracteatum",0.0987098783151104,0.137948718090651,0.0993836729022596,0.132384220295876,NA,NA,NA,NA,NA
"caudatum",0.0491582148466135,0.093287236929982,0.0485318120458649,0.0920111274431966,0.0621406336297481,0.0428068652212539,0.0276573843075733,0.0909071052052326,0.0754555844034615
"ciliatum",0.025262027983869,0.0156701587112354,0.0248501600856541,0.0167561188244885,0.0756935813350466,0.0717037056653263,0.0471259250247697,0.108072277435929,0.1209268220873
"cinnamomifolium",0.0525848396548943,0.141848058211477,0.0578833810150976,0.148259391631968,0.0760641035121441,0.0517482810169371,0.0896145914584066,0.0493573260093035,NA
"coriaceum",0.0358475488005555,0.0180763115044347,0.0356865007684066,0.0177986260046131,0.26342742222612,0.245847276612131,0.207128571825856,0.242006459966899,NA
"corylifolium",0.028590741155522,0.0187220072118846,0.0291553444295422,0.0179199485115236,0.0413570412687883,0.0340243241050628,0.0551048488583279,0.0468788345351035,NA
"costaricanum",0.033592586131953,0.0544050456496003,0.0335331104251649,0.0525370045462951,0.0543534387088059,0.0576406080522954,0.0531010013440297,0.0735655854806218,0.0725643805161113
"cylindricum",0.0277942066846069,0.0432971528487691,0.0274070442585005,0.0430888751553197,0.0520617657586916,0.0958419761643968,0.0473270915533567,0.0889054298740545,NA
"davidii",0.074715149327562,0.167610024189628,0.072430590640988,0.161937458575615,0.125959982958744,0.0415985359426647,0.124635088574858,0.0357857130918928,NA
"dentatum",0.0424022068745825,0.056583546184954,0.0422100277113193,0.0543461754727282,0.134729055680496,0.105423061387241,0.0835886031601125,0.122249750974598,0.165236478449136
"dilatatum",0.0263820994272009,0.0280408472235793,0.0256415083242862,0.0294365197945703,0.0784721264669198,0.0951792753554253,0.0658560993612356,0.096761187797367,NA
"discolor",0.0419557656430998,0.0803869171545131,0.0399202557103685,0.0803335806927275,0.089455992745652,0.139754182724406,0.0634007822353564,0.144233068996448,0.161465647129054
"divaricatum",0.0390240720996081,0.0517097288295287,0.0386628350299647,0.0522229197292034,0.0757792083361648,0.0227196346670795,0.0333953180772711,0.0433417048165758,0.544173656178095
"edule",0.0162270877667302,0.0184989234216802,0.0162464477738784,0.018146267839286,0.083373045112182,0.0855218788740055,0.116696838739803,0.108683391985314,0.313513530988581
"erosum",0.021409073339598,0.0309728601004969,0.0216529251351187,0.0310578884516037,0.0323254186172576,0.0308042726745018,0.0257983820810972,0.0234733426441961,NA
"foetidum",0.0233353432838439,0.0225203881014429,0.0228679136965828,0.0219626478568251,0.0270746446292215,0.0331272196294998,0.0331926713114706,0.0423905816959474,NA
"formosanum",0.0189064455541959,0.0169031257352233,0.0189366447576171,0.0163101665389563,0.0608070141836626,0.0587702059092652,0.0510496516548392,0.0608998812312565,NA
"glabratum",0.0702373415680243,0.130363085074608,0.0679895463765125,0.142998573646186,0.150764847931804,0.104505400021737,0.131868601214244,0.113138635507276,0.0560403857909808
"hallii",0.0232712866553672,0.0315636296891115,0.023647954552869,0.031267982223584,0.0618789008973534,0.0606537482156431,0.0648637638778837,0.0588513423843741,0.0905521284842759
"hartwegii",0.0657736822424583,0.138918713167598,0.0612101165371602,0.13465158182646,0.121335604549233,0.0357549234501861,0.223724052867197,0.16116858930261,NA
"hengshanicum",0.0343965065065847,0.0228325364012453,0.0368607283931559,0.0230164371836897,NA,NA,NA,NA,NA
"hispidulum",0.0342301347633014,0.0509904324201422,0.0344235068455666,0.0500971196210014,0.161345097006518,0.133080208991684,0.182884858355757,0.122335163787327,NA
"inopinatum",0.0417014439951711,0.0692523718750108,0.0437863946735787,0.0696892113697185,0.126952660419792,0.128950703191292,0.0984798032524619,0.0946310089103921,NA
"integrifolium",0.0290639096455881,0.0377858490013434,0.028644648038759,0.0366051229458908,0.0367146363276485,0.0574426936648716,0.0522408678930541,0.0893968477651116,NA
"jamesonii",0.0274519218290643,0.0508526687063048,0.028509877330605,0.0516119278740379,0.0483514340319159,0.0563369066648934,0.0546299161493736,0.0459503985296711,0.204281905116653
"japonicum",0.0392470294564712,0.0433509680120348,0.0378916796091126,0.0419776352943235,0.0745280822994816,0.0488865956936698,0.0828077908579565,0.0603171819395421,NA
"lasiophyllum",0.0441554398656012,0.095242648658278,0.0408148700659404,0.0959065598755117,0.0852440150224663,0.0203506437228682,0.0369980057341281,0.0499285989717203,0.0842996425328606
"leiocarpum",0.0465599385473633,0.0486141192388227,0.0459592627608154,0.0509823046387525,0.0401582589918841,0.0402915940851203,0.0419727044832021,0.0422516693478424,NA
"lobophyllum",0.0182745077278099,0.012427350791263,0.0190548633936174,0.0128216458920614,0.0718230994799256,0.0660087757089907,0.074548988407448,0.0430184373142609,NA
"luzonicum",0.0379273986414815,0.032792067225163,0.0382649609324306,0.0332358960430868,0.0504438898552241,0.0511145771809136,0.0567644755226796,0.0555188321503569,NA
"melanocarpum",0.0203860935414457,0.00658902790804314,0.0199544822240317,0.00671117357497229,0.214934022030005,0.243202351889201,0.238347437259898,0.319766692685126,NA
"microcarpum",0.0296726544350612,0.0299389369028704,0.030014890901706,0.0307145985872341,0.0913145064952756,0.0743780714988282,0.174673623645568,0.1932633504638,0.142242457746508
"molle",0.0544649161522756,0.0936775436947402,0.0555061993842608,0.0891557984618382,0.12629478854461,0.223125866592782,0.21384769246763,0.134892900748851,0.0547432755280413
"mullaha",0.0280655499689366,0.0310569662790085,0.0307026139127839,0.0309998567528224,0.0503446273392618,0.0560448104740075,0.0653507237573901,0.0611563894579123,NA
"opulus",0.00292916681133351,0.00078032313559406,0.00288106250568603,0.000787341001854485,0.133993462976656,0.122413310223647,0.137041594231656,0.0971157198345516,0.163817320587232
"rafinesquianum",0.0522933134135932,0.0274528148031341,0.0515621745047565,0.0282870131033473,0.198081296210891,0.100889608635604,0.148762905946685,NA,0.380130810954484
